,Region,dVCR,VCR,UCR,loc,meanVIT,VUH,meanVUH
0,6795038,903104.0,0.000269286304196,0.186005830904,"(40.079245283018864, 116.58640093786636)",87.7566805947,1914,0.185987756292
1,8180783,828104.0,0.000516209211912,0.321185617104,"(39.904492362982928, 116.42051582649474)",168.225439705,1844,0.365173452531
2,9077097,1292086.0,0.000901481631969,0.417103984451,"(39.895507637017069, 116.31324736225089)",293.780390633,1674,0.527839860072
3,6795037,628157.0,0.0010887846192,0.479689018465,"(40.078796046720576, 116.58640093786636)",354.819842581,1509,0.674472840346
4,8249328,411983.0,0.0012116291415,0.534402332362,"(39.892362982929022, 116.41230949589684)",394.853172675,1328,0.80351763677
5,8175883,1866816.0,0.00176827375968,0.568901846453,"(39.90359389038634, 116.421101992966)",576.255951803,1196,0.919735691381
6,9067300,655906.0,0.00196385090543,0.605150631681,"(39.895058400718774, 116.31441969519344)",639.991837528,1547,1.07006121854
7,7754664,495767.0,0.0021116780252,0.639650145773,"(39.907637017070975, 116.47151230949591)",688.166650471,1371,1.20328442328
8,7989586,1609159.0,0.00259149483475,0.657628765792,"(39.82587601078167, 116.44337631887457)",844.532309785,656,1.2670294432
9,8180782,700599.0,0.00280039847756,0.680174927114,"(39.904043126684634, 116.42051582649474)",912.61111651,1728,1.43494315421
10,6795035,605200.0,0.00298085617822,0.700777453839,"(40.077897574123988, 116.58640093786636)",971.419784278,1363,1.56738898066
11,8802907,412802.0,0.0031039449088,0.721185617104,"(39.939532794249772, 116.34607268464245)",1011.53269847,1162,1.68030317753
12,8621568,356879.0,0.00321035859644,0.739747327502,"(39.888769092542674, 116.36776084407973)",1046.2114469,1141,1.79117675639
13,7470810,2142523.0,0.00384921314732,0.743343051506,"(40.010961365678348, 116.50550996483001)",1254.40530561,326,1.82285492178
14,6971348,1802120.0,0.00438656680152,0.748493683188,"(40.071159029649593, 116.56529894490036)",1429.52142649,422,1.86386162666
15,9062405,480707.0,0.00452990335127,0.763070942663,"(39.896406109613658, 116.31500586166472)",1476.2328248,1349,1.9949470411
16,6961552,1419218.0,0.00495308381562,0.768999028183,"(40.071159029649593, 116.56647127784291)",1614.14148285,762,2.06899232339
17,7989585,1316623.0,0.00534567264447,0.775218658892,"(39.825426774483375, 116.44337631887457)",1742.08075017,626,2.12982217472
18,7891864,377597.0,0.00545826399674,0.78824101069,"(39.932794249775384, 116.45509964830012)",1778.77271402,1265,2.25274511709
19,9126078,1047464.0,0.00577059536648,0.79436345967,"(39.895956873315363, 116.30738569753811)",1880.55718589,741,2.32474978136
20,7475707,1688503.0,0.00627407086044,0.794849368319,"(40.010512129380054, 116.50492379835875)",2044.6328831,210,2.34515596152
