,Region,dVCR,VCR,UCR,loc,meanVIT,VUH,meet,meanVUH
0,6795038,903104.0,0.000269286304196,0.186005830904,"(40.079245283018864, 116.58640093786636)",1.46275348235,1914,0.356754130224,0.186005830904
1,8180783,828104.0,0.000516209211912,0.321185617104,"(39.904492362982928, 116.42051582649474)",2.8040298024,1844,0.718075801749,0.365208940719
2,9077097,1292086.0,0.000901481631969,0.417103984451,"(39.895507637017069, 116.31324736225089)",4.89681567865,1674,1.32351797862,0.527891156463
3,6795037,628157.0,0.0010887846192,0.479689018465,"(40.078796046720576, 116.58640093786636)",5.91423874312,1509,1.55092322643,0.674538386783
4,8249328,411983.0,0.0012116291415,0.534402332362,"(39.892362982929022, 116.41230949589684)",6.58152575316,1328,1.78833819242,0.803595724004
5,7754664,495767.0,0.00135945626127,0.576967930029,"(39.907637017070975, 116.47151230949591)",7.38451733074,1371,2.05986394558,0.936831875607
6,9067300,655906.0,0.00155503340702,0.613605442177,"(39.895058400718774, 116.31441969519344)",8.44688532556,1547,2.31175898931,1.08717201166
7,7891864,377597.0,0.0016676247593,0.643148688047,"(39.932794249775384, 116.45509964830012)",9.05847748623,1265,2.51700680272,1.2101068999
8,9062405,480707.0,0.00181096130905,0.669193391642,"(39.896406109613658, 116.31500586166472)",9.83707644963,1349,2.75840621963,1.34120505345
9,8621591,339429.0,0.00191217177977,0.692614188533,"(39.89910152740341, 116.36776084407973)",10.3868480726,1082,2.94509232264,1.44635568513
10,8180784,571463.0,0.00208256982834,0.712536443149,"(39.904941599281223, 116.42051582649474)",11.3124441205,1480,3.19970845481,1.59018464529
11,8641292,364893.0,0.00219137311943,0.730126336249,"(39.948068283917337, 116.36541617819461)",11.9034596696,1121,3.375898931,1.69912536443
12,8175883,1866816.0,0.00274801773761,0.744120505345,"(39.90359389038634, 116.421101992966)",14.927133139,1196,4.28853255588,1.81535471331
13,6795035,605200.0,0.00292847543827,0.758309037901,"(40.077897574123988, 116.58640093786636)",15.9073728539,1363,4.52303206997,1.94781341108
14,8778399,358961.0,0.00303550993379,0.771331389699,"(39.931446540880501, 116.34900351699883)",16.4887803693,1175,4.72303206997,2.06200194363
15,8528505,332153.0,0.00313455085687,0.783576287658,"(39.888319856244387, 116.37889800703401)",17.0267670878,1196,4.94139941691,2.17823129252
16,7989586,1609159.0,0.00361436766642,0.793294460641,"(39.82587601078167, 116.44337631887457)",19.6331146744,656,5.47871720117,2.24198250729
17,9150595,454876.0,0.00375000196425,0.803304178814,"(39.90808625336927, 116.30445486518171)",20.3698752834,932,5.74139941691,2.33255587949
18,8185723,315583.0,0.0038441020676,0.813119533528,"(39.92336028751123, 116.41992966002346)",20.8810236476,1215,5.94460641399,2.45063168124
19,6829325,520148.0,0.0039991990803,0.821185617104,"(40.079694519317158, 116.58229777256741)",21.7235050211,1283,6.19727891156,2.57531584062
20,9072199,466792.0,0.00413838647456,0.828765792031,"(39.895507637017069, 116.31383352872216)",22.4795659216,1288,6.451797862,2.70048590865
21,7754662,413443.0,0.00426166633764,0.83537414966,"(39.906738544474393, 116.47151230949591)",23.1492176871,1302,6.69203109815,2.82701652089
22,8249326,306285.0,0.00435299397619,0.84139941691,"(39.891464510332433, 116.41230949589684)",23.6453061224,1095,6.8693877551,2.93343051506
23,8205459,296348.0,0.00444135861379,0.8472303207,"(39.988050314465404, 116.41758499413834)",24.1252996437,970,7.01739552964,3.027696793
24,8180782,700599.0,0.00465026225659,0.852283770651,"(39.904043126684634, 116.42051582649474)",25.2600566893,1728,7.38279883382,3.19562682216
25,6790136,893666.0,0.00491673435098,0.856559766764,"(40.077448337825693, 116.58698710433764)",26.7075234856,1011,7.75442176871,3.29387755102
26,8078004,386001.0,0.00503183159637,0.861030126336,"(39.939982030548066, 116.43282532239157)",27.3327275672,1298,7.97065111759,3.42001943635
27,8778409,284613.0,0.00511669710787,0.865500485909,"(39.93593890386343, 116.34900351699883)",27.7937139618,773,8.12040816327,3.49514091351
28,8621568,356879.0,0.0052231107955,0.869387755102,"(39.888769092542674, 116.36776084407973)",28.3717492711,1141,8.30563654033,3.60602526725
29,9028212,250407.0,0.00529777680913,0.873177842566,"(39.938185085354895, 116.31910902696366)",28.7773323615,932,8.44139941691,3.69659863946
30,8068170,337316.0,0.00539835722843,0.87667638484,"(39.922911051212935, 116.43399765533412)",29.3236815679,1203,8.64645286686,3.81350826045
31,9072198,494592.0,0.00554583398832,0.879980563654,"(39.895058400718774, 116.31383352872216)",30.1247700032,1092,8.83595724004,3.91963070943
32,7989585,1316623.0,0.00593842281717,0.88211856171,"(39.825426774483375, 116.44337631887457)",32.2572983479,626,9.28483965015,3.9804664723
33,9062559,251127.0,0.00601330351941,0.885228377065,"(39.965588499550762, 116.31500586166472)",32.664047619,936,9.4267249757,4.07142857143
34,7891841,297028.0,0.00610187091847,0.8879494655,"(39.922461814914641, 116.45509964830012)",33.1451425332,1038,9.57288629738,4.172303207
35,9126078,1047464.0,0.00641420228821,0.889893100097,"(39.895956873315363, 116.30738569753811)",34.8417152575,741,9.90495626822,4.2443148688
36,6971348,1802120.0,0.0069515559424,0.891059280855,"(40.071159029649593, 116.56529894490036)",37.760600907,422,10.6972789116,4.28532555879
37,7470810,2142523.0,0.00759041049329,0.891739552964,"(40.010961365678348, 116.50550996483001)",41.2308357629,326,11.4262390671,4.31700680272
38,9062406,321077.0,0.00768614878998,0.89416909621,"(39.896855345911945, 116.31500586166472)",41.750882734,964,11.5695821186,4.41068999028
39,7891773,322961.0,0.00778244885519,0.896404275996,"(39.891913746630728, 116.45509964830012)",42.2739812115,1072,11.7317784257,4.51486880466
40,8778417,202019.0,0.00784268660177,0.898736637512,"(39.939532794249772, 116.34900351699883)",42.6011904762,803,11.8470359572,4.59290573372
